catalog,detaillink,location,name,number,time
产品/项目类,position_detail.php?id=27242&keywords=&tid=0&lid=0,深圳,SNG02-视频云解决方案架构师（上海）,3,2017-06-17
职能类,position_detail.php?id=28119&keywords=&tid=0&lid=0,深圳,15575-天美L1手游技术美术-TA（成都）,1,2017-06-17
技术类,position_detail.php?id=30695&keywords=&tid=0&lid=0,深圳,SNG16-腾讯音乐项目经理（深圳）,1,2017-06-16
技术类,position_detail.php?id=28478&keywords=&tid=0&lid=0,深圳,TEG13-Python运营开发(后台)工程师（深圳）,1,2017-06-17
技术类,position_detail.php?id=30111&keywords=&tid=0&lid=0,深圳,23048-翻译君产品增长工程师（北京）,1,2017-06-15
产品/项目类,position_detail.php?id=28550&keywords=&tid=0&lid=0,深圳,OMG08-天天快报市场经理（北京）,1,2017-06-16
设计类,position_detail.php?id=25808&keywords=&tid=0&lid=0,北京,15612-高级场景原画设计师（北京）,1,2017-06-15
市场类,position_detail.php?id=30843&keywords=&tid=0&lid=0,北京,22989-云网络后台开发工程师（深圳）,1,2017-06-15
技术类,position_detail.php?id=30828&keywords=&tid=0&lid=0,深圳,MIG09-浏览器社区后台高级工程师,1,2017-06-14
产品/项目类,position_detail.php?id=27744&keywords=&tid=0&lid=0,上海,MIG03-高级智能创新产品测试开发工程师,1,2017-06-16
